Customer_No,Prediction,Probability_Prediction
97760,0,0.26
97761,0,0.14
97762,0,0.4
97763,0,0.24
97764,1,0.58
97765,0,0.33
97766,0,0.08
97767,0,0.28
97768,0,0.13
97769,0,0.45
97770,0,0.04
97771,0,0.16
97772,0,0.26
97773,0,0.23
97774,0,0.24
97775,0,0.22
97776,0,0.14
97777,1,0.74
97778,1,0.66
97779,0,0.18
97780,0,0.29
97781,0,0.17
97782,1,0.62
97783,0,0.14
97784,0,0.46
97785,0,0.16
97786,0,0.2
97787,0,0.28
97788,0,0.11
97789,0,0.22
97790,0,0.18
97791,0,0.16
97792,0,0.47
97793,0,0.28
97794,0,0.18
97795,0,0.28
97796,1,0.66
97797,0,0.31
97798,0,0.13
97799,0,0.42
97800,0,0.28
97801,0,0.43
97802,0,0.46
97803,0,0.18
97804,0,0.35
97805,0,0.3
97806,0,0.3
97807,0,0.2
97808,0,0.26
97809,1,0.54
97810,1,0.6
97811,0,0.32
97812,0,0.32
97813,0,0.25
97814,0,0.32
97815,0,0.19
97816,1,0.76
97817,1,0.71
97818,0,0.04
97819,0,0.5
97820,0,0.2
97821,0,0.16
97822,1,0.6
97823,0,0.26
97824,0,0.06
97825,0,0.2
97826,0,0.22
97827,0,0.3
97828,0,0.34
97829,0,0.19
97830,0,0.42
97831,1,0.54
97832,0,0.44
97833,0,0.46
97834,0,0.24
97835,1,0.53
97836,0,0.3
97837,0,0.17
97838,0,0.25
97839,0,0.28
97840,0,0.34
97841,0,0.18
97842,0,0.33
97843,0,0.06
97844,0,0.26
97845,0,0.38
97846,0,0.33
97847,0,0.21
97848,1,0.52
97849,0,0.22
97850,0,0.32
97851,0,0.2
97852,0,0.27
97853,0,0.16
97854,0,0.06
97855,0,0.26
97856,0,0.18
97857,0,0.29
97858,0,0.38
97859,0,0.14
97860,0,0.16
97861,0,0.22
97862,0,0.12
97863,0,0.2
97864,0,0.14
97865,0,0.26
97866,0,0.32
97867,0,0.28
97868,1,0.55
97869,1,0.6
97870,0,0.16
97871,1,0.6
97872,1,0.65
97873,0,0.08
97874,0,0.14
97875,0,0.16
97876,0,0.1
97877,0,0.34
97878,0,0.22
97879,0,0.28
97880,0,0.28
97881,0,0.34
97882,0,0.28
97883,0,0.3
97884,0,0.26
97885,0,0.27
97886,0,0.3
97887,0,0.1
97888,0,0.46
97889,0,0.24
97890,0,0.3
97891,0,0.22
97892,0,0.3
97893,0,0.23
97894,0,0.3
97895,1,0.7
97896,0,0.46
97897,0,0.12
97898,0,0.46
97899,0,0.39
97900,1,0.72
97901,0,0.26
97902,0,0.34
97903,0,0.16
97904,0,0.2
97905,0,0.29
97906,0,0.46
97907,0,0.17
97908,0,0.14
97909,0,0.22
97910,0,0.26
97911,0,0.26
97912,0,0.34
97913,0,0.22
97914,0,0.39
97915,0,0.16
97916,0,0.32
97917,0,0.28
97918,0,0.19
97919,0,0.22
97920,0,0.26
97921,0,0.08
97922,0,0.2
97923,0,0.12
97924,0,0.16
97925,0,0.37
97926,0,0.2
97927,0,0.24
97928,0,0.34
97929,0,0.04
97930,0,0.22
97931,0,0.08
97932,0,0.24
97933,0,0.36
97934,0,0.34
97935,0,0.33
97936,0,0.14
97937,0,0.22
97938,0,0.38
97939,0,0.25
97940,0,0.24
97941,0,0.18
97942,0,0.28
97943,0,0.3
97944,0,0.29
97945,0,0.27
97946,0,0.16
97947,0,0.28
97948,0,0.22
97949,0,0.22
97950,0,0.29
97951,0,0.27
97952,0,0.21
97953,0,0.24
97954,0,0.28
97955,0,0.12
97956,0,0.35
97957,0,0.21
97958,1,0.55
97959,0,0.39
97960,0,0.47
97961,0,0.24
97962,0,0.32
97963,0,0.12
97964,0,0.16
97965,0,0.1
97966,0,0.2
97967,0,0.22
97968,0,0.14
97969,0,0.22
97970,1,0.64
97971,0,0.21
97972,0,0.29
97973,0,0.06
97974,0,0.24
97975,1,0.55
97976,0,0.22
97977,0,0.2
97978,0,0.24
97979,0,0.07
97980,0,0.12
97981,1,0.67
97982,0,0.28
97983,0,0.04
97984,0,0.28
97985,0,0.12
97986,0,0.06
97987,0,0.35
97988,1,0.52
97989,0,0.43
97990,0,0.18
97991,0,0.26
97992,0,0.12
97993,0,0.36
97994,0,0.18
97995,0,0.32
97996,0,0.16
97997,0,0.28
97998,0,0.11
97999,0,0.16
98000,0,0.26
98001,0,0.3
98002,0,0.2
98003,0,0.26
98004,1,0.64
98005,1,0.7
98006,0,0.42
98007,0,0.18
98008,1,0.62
98009,0,0.34
98010,0,0.26
98011,0,0.14
98012,0,0.26
98013,0,0.33
98014,0,0.32
98015,0,0.16
98016,0,0.26
98017,0,0.32
98018,0,0.29
98019,0,0.3
98020,0,0.15
98021,0,0.27
98022,0,0.24
98023,1,0.64
98024,0,0.13
98025,0,0.32
98026,0,0.1
98027,0,0.26
98028,0,0.28
98029,1,0.68
98030,0,0.28
98031,0,0.46
98032,0,0.19
98033,1,0.8
98034,0,0.25
98035,0,0.07
98036,0,0.31
98037,0,0.34
98038,0,0.14
98039,0,0.49
98040,0,0.36
98041,0,0.33
98042,0,0.29
98043,0,0.38
98044,1,0.7
98045,0,0.31
98046,0,0.33
98047,0,0.1
98048,0,0.32
98049,0,0.16
98050,0,0.21
98051,0,0.17
98052,0,0.2
98053,0,0.26
98054,0,0.2
98055,0,0.28
98056,0,0.34
98057,0,0.22
98058,0,0.26
98059,0,0.15
98060,0,0.13
98061,0,0.18
98062,0,0.36
98063,0,0.36
98064,0,0.14
98065,0,0.02
98066,0,0.19
98067,0,0.28
98068,0,0.31
98069,0,0.32
98070,0,0.22
98071,0,0.34
98072,1,0.54
98073,0,0.22
98074,0,0.2
98075,0,0.26
98076,0,0.28
98077,0,0.3
98078,0,0.16
98079,0,0.16
98080,0,0.25
98081,0,0.26
98082,0,0.24
98083,0,0.3
98084,0,0.3
98085,0,0.4
98086,0,0.08
98087,0,0.22
98088,0,0.2
98089,0,0.22
98090,1,0.7
98091,0,0.16
98092,0,0.28
98093,0,0.23
98094,0,0.5
98095,0,0.24
98096,0,0.28
98097,0,0.4
98098,1,0.56
98099,0,0.14
98100,0,0.08
98101,0,0.34
98102,0,0.22
98103,0,0.5
98104,0,0.2
98105,0,0.23
98106,0,0.31
98107,0,0.2
98108,0,0.18
98109,0,0.08
98110,0,0.23
98111,0,0.15
98112,0,0.15
98113,0,0.38
98114,0,0.22
98115,0,0.14
98116,0,0.28
98117,0,0.22
98118,0,0.32
98119,0,0.28
98120,0,0.24
98121,0,0.39
98122,0,0.46
98123,0,0.16
98124,0,0.24
98125,0,0.26
98126,0,0.08
98127,0,0.34
98128,0,0.3
98129,0,0.0
98130,0,0.36
98131,0,0.44
98132,0,0.2
98133,0,0.2
98134,0,0.12
98135,0,0.3
98136,0,0.22
98137,0,0.22
98138,0,0.36
98139,0,0.37
98140,0,0.16
98141,0,0.3
98142,0,0.27
98143,0,0.26
98144,0,0.5
98145,0,0.16
98146,0,0.28
98147,0,0.28
98148,0,0.25
98149,0,0.18
98150,0,0.32
98151,0,0.25
98152,0,0.38
98153,0,0.44
98154,0,0.2
98155,1,0.74
98156,0,0.21
98157,0,0.18
98158,0,0.25
98159,0,0.24
98160,0,0.29
98161,0,0.1
98162,0,0.21
98163,0,0.24
98164,1,0.68
98165,0,0.12
98166,1,0.62
98167,0,0.23
98168,0,0.18
98169,0,0.24
98170,0,0.16
98171,0,0.34
98172,0,0.2
98173,0,0.18
98174,0,0.38
98175,0,0.16
98176,0,0.13
98177,0,0.35
98178,0,0.32
98179,0,0.1
98180,0,0.1
98181,0,0.3
98182,0,0.44
98183,0,0.19
98184,0,0.28
98185,0,0.2
98186,0,0.2
98187,0,0.12
98188,0,0.38
98189,0,0.19
98190,1,0.58
98191,1,0.55
98192,0,0.1
98193,0,0.41
98194,0,0.18
98195,0,0.34
98196,0,0.3
98197,0,0.2
98198,0,0.27
98199,0,0.29
98200,0,0.32
98201,0,0.04
98202,0,0.2
98203,0,0.26
98204,0,0.29
98205,0,0.22
98206,0,0.42
98207,1,0.55
98208,0,0.2
98209,0,0.26
98210,0,0.2
98211,0,0.16
98212,0,0.12
98213,0,0.35
98214,0,0.2
98215,0,0.12
98216,0,0.32
98217,0,0.14
98218,0,0.14
98219,0,0.14
98220,0,0.16
98221,0,0.2
98222,0,0.23
98223,0,0.38
98224,0,0.24
98225,1,0.61
98226,0,0.26
98227,0,0.26
98228,0,0.31
98229,0,0.48
98230,0,0.19
98231,0,0.34
98232,0,0.48
98233,0,0.4
98234,0,0.34
98235,0,0.26
98236,0,0.22
98237,0,0.2
98238,0,0.3
98239,1,0.52
98240,0,0.08
98241,0,0.42
98242,0,0.36
98243,0,0.28
98244,0,0.2
98245,0,0.29
98246,0,0.19
98247,1,0.56
98248,0,0.29
98249,0,0.13
98250,0,0.28
98251,0,0.16
98252,0,0.12
98253,0,0.36
98254,0,0.16
98255,0,0.12
98256,0,0.1
98257,0,0.07
98258,0,0.25
98259,0,0.3
98260,0,0.32
98261,0,0.0
98262,0,0.29
98263,0,0.2
98264,0,0.32
98265,0,0.44
98266,0,0.14
98267,0,0.22
98268,0,0.44
98269,0,0.18
98270,0,0.45
98271,0,0.1
98272,0,0.24
98273,0,0.3
98274,0,0.18
98275,0,0.16
98276,0,0.37
98277,0,0.16
98278,0,0.26
98279,0,0.08
98280,0,0.2
98281,0,0.24
98282,0,0.41
98283,0,0.16
98284,0,0.12
98285,0,0.07
98286,0,0.13
98287,1,0.71
98288,0,0.37
98289,0,0.32
98290,0,0.4
98291,0,0.18
98292,0,0.26
98293,0,0.46
98294,0,0.1
98295,0,0.25
98296,0,0.23
98297,0,0.3
98298,1,0.66
98299,0,0.19
98300,0,0.19
98301,0,0.3
98302,0,0.09
98303,0,0.05
98304,0,0.28
98305,0,0.13
98306,0,0.34
98307,0,0.48
98308,0,0.22
98309,0,0.38
98310,0,0.15
98311,0,0.46
98312,0,0.09
98313,0,0.28
98314,0,0.38
98315,0,0.26
98316,0,0.28
98317,1,0.64
98318,1,0.67
98319,0,0.39
98320,0,0.14
98321,0,0.26
98322,0,0.28
98323,0,0.28
98324,0,0.12
98325,0,0.18
98326,0,0.26
98327,0,0.28
98328,0,0.12
98329,0,0.32
98330,0,0.38
98331,0,0.08
98332,0,0.16
98333,0,0.09
98334,1,0.7
98335,0,0.1
98336,0,0.26
98337,0,0.18
98338,1,0.66
98339,0,0.18
98340,0,0.28
98341,0,0.28
98342,0,0.07
98343,0,0.18
98344,1,0.66
98345,0,0.37
98346,0,0.1
98347,0,0.36
98348,0,0.21
98349,0,0.3
98350,0,0.2
98351,0,0.07
98352,1,0.81
98353,0,0.28
98354,0,0.26
98355,0,0.1
98356,0,0.04
98357,0,0.44
98358,0,0.14
98359,0,0.15
98360,0,0.14
98361,0,0.25
98362,0,0.13
98363,1,0.61
98364,0,0.36
98365,0,0.26
98366,1,0.64
98367,0,0.41
98368,0,0.29
98369,0,0.28
98370,0,0.44
98371,1,0.51
98372,0,0.19
98373,0,0.28
98374,0,0.08
98375,0,0.25
98376,0,0.19
98377,0,0.22
98378,0,0.25
98379,0,0.4
98380,0,0.38
98381,0,0.17
98382,0,0.3
98383,0,0.06
98384,0,0.29
98385,0,0.37
98386,0,0.28
98387,0,0.16
98388,0,0.21
98389,0,0.44
98390,0,0.25
98391,0,0.19
98392,0,0.25
98393,0,0.18
98394,0,0.25
98395,1,0.7
98396,1,0.54
98397,0,0.35
98398,0,0.26
98399,0,0.37
98400,0,0.34
98401,0,0.28
98402,0,0.3
98403,0,0.12
98404,0,0.3
98405,0,0.23
98406,0,0.04
98407,0,0.08
98408,0,0.34
98409,0,0.47
98410,1,0.58
98411,0,0.34
98412,0,0.19
98413,0,0.18
98414,0,0.15
98415,0,0.2
98416,0,0.32
98417,0,0.31
98418,0,0.38
98419,0,0.34
98420,0,0.32
98421,0,0.26
98422,0,0.13
98423,0,0.28
98424,0,0.23
98425,0,0.26
98426,1,0.62
98427,0,0.2
98428,0,0.42
98429,0,0.35
98430,0,0.13
98431,0,0.34
98432,0,0.28
98433,0,0.26
98434,0,0.34
98435,0,0.1
98436,0,0.31
98437,0,0.24
98438,0,0.03
98439,1,0.64
98440,1,0.76
98441,0,0.26
98442,0,0.2
98443,0,0.25
98444,0,0.24
98445,0,0.32
98446,0,0.14
98447,0,0.46
98448,0,0.4
98449,0,0.16
98450,0,0.19
98451,1,0.6
98452,0,0.24
98453,0,0.36
98454,0,0.18
98455,0,0.16
98456,0,0.15
98457,0,0.14
98458,0,0.16
98459,0,0.17
98460,0,0.24
98461,0,0.36
98462,0,0.3
98463,0,0.28
98464,0,0.14
98465,0,0.5
98466,0,0.26
98467,0,0.5
98468,0,0.28
98469,0,0.18
98470,0,0.22
98471,0,0.1
98472,0,0.28
98473,0,0.28
98474,0,0.24
98475,1,0.6
98476,1,0.57
98477,0,0.35
98478,0,0.26
98479,0,0.16
98480,0,0.34
98481,0,0.28
98482,0,0.24
98483,0,0.22
98484,1,0.51
98485,0,0.25
98486,0,0.12
98487,0,0.46
98488,0,0.32
98489,0,0.37
98490,0,0.08
98491,0,0.12
98492,0,0.18
98493,0,0.25
98494,0,0.26
98495,0,0.23
98496,0,0.2
98497,0,0.3
98498,0,0.25
98499,0,0.18
98500,0,0.22
98501,0,0.31
98502,0,0.36
98503,0,0.12
98504,0,0.36
98505,0,0.26
98506,0,0.08
98507,0,0.22
98508,0,0.26
98509,0,0.32
98510,0,0.18
98511,0,0.13
98512,0,0.16
98513,0,0.26
98514,0,0.34
98515,1,0.68
98516,0,0.2
98517,0,0.16
98518,0,0.19
98519,0,0.3
98520,0,0.12
98521,0,0.32
98522,0,0.32
98523,0,0.28
98524,0,0.36
98525,0,0.42
98526,1,0.7
98527,0,0.08
98528,0,0.24
98529,0,0.4
98530,0,0.25
98531,0,0.32
98532,0,0.3
98533,0,0.28
98534,0,0.18
98535,1,0.76
98536,0,0.19
98537,0,0.29
98538,0,0.22
98539,1,0.54
98540,0,0.3
98541,0,0.33
98542,1,0.66
98543,1,0.57
98544,0,0.19
98545,0,0.1
98546,0,0.14
98547,0,0.12
98548,1,0.52
98549,0,0.41
98550,0,0.16
98551,0,0.16
98552,0,0.18
98553,1,0.56
98554,0,0.28
98555,0,0.14
98556,0,0.27
98557,1,0.66
98558,0,0.24
98559,0,0.45
98560,0,0.46
98561,0,0.28
98562,0,0.24
98563,0,0.44
98564,0,0.46
98565,0,0.24
98566,0,0.08
98567,1,0.59
98568,0,0.15
98569,0,0.32
98570,0,0.32
98571,1,0.51
98572,0,0.12
98573,0,0.2
98574,0,0.28
98575,0,0.28
98576,0,0.16
98577,0,0.44
98578,0,0.22
98579,0,0.36
98580,0,0.08
98581,0,0.15
98582,0,0.17
98583,0,0.14
98584,0,0.32
98585,0,0.36
98586,0,0.44
98587,0,0.24
98588,0,0.3
98589,0,0.18
98590,1,0.62
98591,1,0.54
98592,0,0.2
98593,0,0.26
98594,0,0.26
98595,0,0.32
98596,0,0.46
98597,0,0.22
98598,0,0.4
98599,1,0.52
98600,0,0.18
98601,0,0.28
98602,0,0.2
98603,0,0.35
98604,0,0.18
98605,0,0.2
98606,0,0.5
98607,1,0.64
98608,0,0.3
98609,1,0.54
98610,0,0.13
98611,0,0.12
98612,0,0.3
98613,0,0.47
98614,0,0.3
98615,0,0.33
98616,0,0.22
98617,0,0.24
98618,0,0.1
98619,0,0.16
98620,0,0.42
98621,0,0.28
98622,0,0.15
98623,1,0.64
98624,0,0.32
98625,0,0.2
98626,0,0.3
98627,0,0.21
98628,0,0.18
98629,0,0.48
98630,0,0.18
98631,0,0.15
98632,0,0.18
98633,0,0.38
98634,0,0.18
98635,0,0.16
98636,0,0.26
98637,0,0.24
98638,0,0.18
98639,0,0.16
98640,0,0.24
98641,0,0.15
98642,0,0.08
98643,0,0.12
98644,0,0.16
98645,0,0.14
98646,0,0.27
98647,0,0.32
98648,0,0.42
98649,0,0.39
98650,0,0.21
98651,0,0.43
98652,0,0.32
98653,0,0.17
98654,1,0.64
98655,0,0.39
98656,0,0.29
98657,0,0.25
98658,0,0.34
98659,0,0.21
98660,0,0.2
98661,0,0.22
98662,0,0.3
98663,0,0.28
98664,0,0.44
98665,1,0.66
98666,0,0.2
98667,0,0.44
98668,1,0.57
98669,0,0.25
98670,0,0.27
98671,0,0.19
98672,1,0.56
98673,0,0.18
98674,0,0.28
98675,0,0.14
98676,0,0.22
98677,0,0.28
98678,0,0.32
98679,0,0.24
98680,0,0.26
98681,0,0.24
98682,0,0.18
98683,0,0.24
98684,1,0.68
98685,0,0.35
98686,0,0.24
98687,0,0.3
98688,0,0.18
98689,0,0.3
98690,0,0.29
98691,0,0.16
98692,0,0.42
98693,1,0.64
98694,0,0.35
98695,0,0.34
98696,0,0.24
98697,0,0.18
98698,0,0.44
98699,0,0.35
98700,0,0.28
98701,0,0.22
98702,0,0.28
98703,0,0.29
98704,0,0.4
98705,0,0.2
98706,0,0.4
98707,0,0.4
98708,0,0.14
98709,0,0.15
98710,0,0.26
98711,0,0.48
98712,0,0.22
98713,0,0.08
98714,0,0.32
98715,0,0.34
98716,0,0.09
98717,0,0.18
98718,0,0.19
98719,0,0.36
98720,0,0.24
98721,0,0.08
98722,0,0.48
98723,0,0.22
98724,0,0.29
98725,0,0.16
98726,1,0.54
98727,0,0.14
98728,0,0.17
98729,0,0.1
98730,0,0.28
98731,0,0.16
98732,0,0.3
98733,0,0.12
98734,0,0.12
98735,0,0.28
98736,0,0.38
98737,0,0.42
98738,0,0.16
98739,1,0.64
98740,0,0.2
98741,0,0.2
98742,0,0.26
98743,0,0.08
98744,0,0.22
98745,0,0.23
98746,0,0.26
98747,0,0.24
98748,0,0.26
98749,0,0.16
98750,1,0.6
98751,0,0.23
98752,0,0.38
98753,0,0.3
98754,0,0.19
98755,0,0.18
98756,0,0.31
98757,0,0.14
98758,0,0.33
98759,0,0.21
98760,0,0.26
98761,0,0.2
98762,1,0.7
98763,0,0.39
98764,0,0.18
98765,1,0.78
98766,1,0.52
98767,0,0.47
98768,1,0.52
98769,0,0.22
98770,0,0.08
98771,0,0.46
98772,0,0.06
98773,0,0.32
98774,0,0.44
98775,0,0.32
98776,0,0.2
98777,0,0.26
98778,0,0.2
98779,0,0.41
98780,0,0.19
98781,0,0.42
98782,0,0.22
98783,0,0.29
98784,0,0.22
98785,0,0.12
98786,0,0.3
98787,0,0.1
98788,0,0.14
98789,0,0.14
98790,0,0.36
98791,0,0.36
98792,0,0.18
98793,0,0.26
98794,1,0.54
98795,0,0.24
98796,0,0.45
98797,0,0.36
98798,0,0.25
98799,0,0.48
98800,0,0.23
98801,0,0.22
98802,0,0.32
98803,0,0.24
98804,0,0.16
98805,0,0.18
98806,0,0.48
98807,0,0.46
98808,0,0.39
98809,0,0.32
98810,0,0.11
98811,0,0.22
98812,0,0.24
98813,0,0.24
98814,0,0.34
98815,0,0.23
98816,0,0.43
98817,0,0.38
98818,0,0.35
98819,0,0.2
98820,0,0.38
98821,0,0.4
98822,0,0.3
98823,0,0.38
98824,0,0.25
98825,0,0.24
98826,0,0.22
98827,0,0.32
98828,0,0.24
98829,0,0.16
98830,0,0.33
98831,0,0.18
98832,0,0.11
98833,0,0.34
98834,1,0.63
98835,0,0.2
98836,0,0.19
98837,0,0.28
98838,0,0.18
98839,0,0.17
98840,0,0.14
98841,0,0.22
98842,1,0.74
98843,1,0.6
98844,0,0.28
98845,0,0.18
98846,0,0.12
98847,0,0.22
98848,0,0.2
98849,1,0.5
98850,0,0.21
98851,0,0.19
98852,0,0.4
98853,0,0.34
98854,0,0.12
98855,0,0.38
98856,0,0.14
98857,0,0.2
98858,0,0.44
98859,0,0.28
98860,0,0.28
98861,0,0.07
98862,0,0.16
98863,0,0.1
98864,1,0.7
98865,0,0.32
98866,0,0.12
98867,1,0.52
98868,0,0.18
98869,1,0.72
98870,1,0.52
98871,0,0.08
98872,0,0.28
98873,0,0.2
98874,0,0.19
98875,0,0.26
98876,0,0.25
98877,0,0.27
98878,0,0.24
98879,0,0.24
98880,0,0.38
98881,0,0.14
98882,0,0.33
98883,0,0.48
98884,0,0.34
98885,0,0.06
98886,0,0.32
98887,1,0.57
98888,0,0.06
98889,0,0.12
98890,0,0.09
98891,0,0.34
98892,0,0.37
98893,0,0.15
98894,0,0.34
98895,0,0.28
98896,0,0.36
98897,0,0.32
98898,0,0.1
98899,0,0.28
98900,0,0.18
98901,0,0.2
98902,0,0.18
98903,0,0.34
98904,0,0.14
98905,0,0.3
98906,0,0.13
98907,0,0.3
98908,0,0.21
98909,0,0.21
98910,0,0.5
98911,0,0.5
98912,0,0.38
98913,0,0.29
98914,0,0.3
98915,0,0.26
98916,0,0.22
98917,0,0.28
98918,0,0.18
98919,0,0.25
98920,0,0.36
98921,0,0.14
98922,0,0.32
98923,0,0.18
98924,0,0.21
98925,0,0.36
98926,0,0.22
98927,1,0.59
98928,0,0.23
98929,0,0.2
98930,0,0.2
98931,0,0.28
98932,0,0.13
98933,0,0.2
98934,0,0.28
98935,0,0.21
98936,0,0.3
98937,1,0.54
98938,0,0.23
98939,0,0.32
98940,1,0.55
98941,0,0.13
98942,1,0.51
98943,0,0.39
98944,0,0.08
98945,1,0.59
98946,0,0.36
98947,0,0.18
98948,0,0.16
98949,0,0.4
98950,1,0.66
98951,0,0.3
98952,0,0.34
98953,0,0.46
98954,0,0.14
98955,0,0.4
98956,0,0.36
98957,0,0.36
98958,0,0.1
98959,0,0.24
98960,0,0.36
98961,0,0.18
98962,0,0.14
98963,0,0.37
98964,0,0.4
98965,0,0.28
98966,0,0.28
98967,0,0.24
98968,0,0.16
98969,0,0.5
98970,0,0.28
98971,0,0.31
98972,1,0.66
98973,0,0.3
98974,0,0.18
98975,0,0.28
98976,0,0.17
98977,0,0.33
98978,0,0.24
98979,0,0.36
98980,1,0.56
98981,1,0.55
98982,0,0.32
98983,0,0.3
98984,0,0.16
98985,0,0.3
98986,0,0.06
98987,0,0.36
98988,1,0.68
98989,0,0.06
98990,0,0.28
98991,0,0.16
98992,0,0.34
98993,0,0.18
98994,0,0.22
98995,0,0.26
98996,0,0.16
98997,0,0.22
98998,0,0.38
98999,0,0.32
99000,0,0.24
99001,0,0.35
99002,0,0.22
99003,0,0.26
99004,0,0.2
99005,0,0.24
99006,0,0.38
99007,0,0.24
99008,0,0.28
99009,0,0.3
99010,0,0.21
99011,0,0.06
99012,0,0.17
99013,0,0.22
99014,0,0.48
99015,0,0.34
99016,0,0.3
99017,0,0.46
99018,0,0.36
99019,0,0.1
99020,0,0.24
99021,0,0.48
99022,0,0.34
99023,0,0.32
99024,0,0.19
99025,0,0.21
99026,0,0.24
99027,0,0.26
99028,0,0.32
99029,0,0.29
99030,0,0.13
99031,0,0.23
99032,0,0.18
99033,0,0.28
99034,0,0.08
99035,0,0.28
99036,0,0.35
99037,0,0.09
99038,0,0.19
99039,0,0.16
99040,0,0.3
99041,0,0.2
99042,0,0.37
99043,0,0.47
99044,0,0.08
99045,0,0.34
99046,0,0.14
99047,1,0.7
99048,0,0.19
99049,0,0.34
99050,0,0.34
99051,0,0.17
99052,0,0.42
99053,0,0.5
99054,0,0.23
99055,0,0.07
99056,0,0.2
99057,0,0.13
99058,0,0.13
99059,0,0.1
99060,0,0.24
99061,0,0.11
99062,0,0.16
99063,0,0.28
99064,0,0.14
99065,0,0.33
99066,0,0.14
99067,0,0.18
99068,0,0.12
99069,0,0.33
99070,0,0.36
99071,0,0.32
99072,0,0.32
99073,0,0.3
99074,0,0.28
99075,0,0.24
99076,0,0.28
99077,0,0.07
99078,0,0.04
99079,0,0.16
99080,0,0.26
99081,0,0.36
99082,1,0.52
99083,0,0.42
99084,0,0.16
99085,0,0.32
99086,0,0.49
99087,0,0.39
99088,0,0.1
99089,0,0.2
99090,0,0.16
99091,0,0.11
99092,1,0.66
99093,0,0.32
99094,0,0.3
99095,0,0.23
99096,1,0.56
99097,0,0.38
99098,0,0.28
99099,0,0.22
99100,0,0.3
99101,0,0.07
99102,1,0.56
99103,0,0.37
99104,0,0.18
99105,0,0.15
99106,0,0.38
99107,0,0.16
99108,0,0.29
99109,0,0.28
99110,0,0.27
99111,0,0.27
99112,0,0.12
99113,0,0.41
99114,0,0.26
99115,0,0.24
99116,0,0.12
99117,0,0.28
99118,0,0.38
99119,0,0.24
99120,0,0.08
99121,0,0.17
99122,0,0.14
99123,0,0.19
99124,0,0.24
99125,0,0.1
99126,0,0.3
99127,1,0.52
99128,1,0.71
99129,0,0.18
99130,0,0.36
99131,0,0.4
99132,0,0.32
99133,0,0.22
99134,0,0.19
99135,0,0.18
99136,0,0.21
99137,0,0.15
99138,0,0.24
99139,0,0.12
99140,0,0.22
99141,0,0.31
99142,0,0.36
99143,0,0.2
99144,0,0.24
99145,0,0.18
99146,1,0.57
99147,0,0.29
99148,1,0.7
99149,0,0.4
99150,0,0.32
99151,0,0.14
99152,1,0.55
99153,0,0.29
99154,0,0.16
99155,0,0.22
99156,0,0.1
99157,0,0.28
99158,0,0.46
99159,0,0.08
99160,0,0.4
99161,0,0.18
99162,0,0.26
99163,0,0.08
99164,1,0.62
99165,0,0.38
99166,0,0.02
99167,0,0.44
99168,0,0.24
99169,0,0.3
99170,0,0.08
99171,0,0.26
99172,0,0.28
99173,0,0.48
99174,0,0.24
99175,0,0.23
99176,0,0.32
99177,0,0.08
99178,1,0.55
99179,0,0.22
99180,0,0.28
99181,0,0.4
99182,0,0.2
99183,0,0.24
99184,0,0.2
99185,0,0.12
99186,0,0.12
99187,0,0.14
99188,0,0.2
99189,0,0.34
99190,0,0.28
99191,0,0.4
99192,1,0.59
99193,0,0.18
99194,0,0.16
99195,0,0.17
99196,1,0.54
99197,0,0.14
99198,0,0.25
99199,0,0.38
99200,0,0.34
99201,0,0.22
99202,0,0.5
99203,0,0.2
99204,0,0.24
99205,0,0.34
99206,0,0.26
99207,0,0.3
99208,0,0.18
99209,0,0.16
99210,1,0.7
99211,0,0.31
99212,0,0.28
99213,1,0.65
99214,0,0.22
99215,0,0.08
99216,0,0.18
99217,0,0.16
99218,0,0.18
99219,0,0.2
99220,0,0.3
99221,0,0.22
99222,0,0.38
99223,0,0.04
99224,0,0.2
99225,0,0.23
99226,0,0.44
99227,0,0.18
99228,0,0.2
99229,0,0.19
99230,0,0.32
99231,1,0.65
99232,0,0.32
99233,0,0.16
99234,0,0.12
99235,0,0.11
99236,0,0.22
99237,0,0.22
99238,0,0.2
99239,0,0.19
99240,0,0.12
99241,0,0.32
99242,0,0.28
99243,0,0.28
99244,0,0.28
99245,0,0.36
99246,0,0.26
99247,0,0.45
99248,1,0.58
99249,0,0.4
99250,0,0.02
99251,1,0.54
99252,0,0.22
99253,0,0.4
99254,0,0.22
99255,0,0.47
99256,0,0.34
99257,0,0.08
99258,0,0.14
99259,0,0.5
99260,0,0.42
99261,0,0.1
99262,0,0.12
99263,0,0.2
99264,1,0.55
99265,0,0.4
99266,0,0.12
99267,0,0.26
99268,0,0.06
99269,0,0.18
99270,0,0.42
99271,0,0.24
99272,0,0.18
99273,0,0.32
99274,1,0.7
99275,0,0.19
99276,0,0.12
99277,0,0.22
99278,0,0.27
99279,0,0.39
99280,0,0.32
99281,0,0.34
99282,0,0.18
99283,0,0.2
99284,0,0.24
99285,0,0.16
99286,0,0.28
99287,0,0.22
99288,0,0.38
99289,0,0.09
99290,0,0.15
99291,0,0.23
99292,0,0.3
99293,0,0.18
99294,0,0.46
99295,0,0.1
99296,0,0.27
99297,0,0.18
99298,0,0.26
99299,0,0.25
99300,0,0.48
99301,0,0.18
99302,0,0.5
99303,0,0.26
99304,0,0.44
99305,0,0.18
99306,1,0.52
99307,0,0.26
99308,1,0.7
99309,0,0.24
99310,0,0.22
99311,0,0.28
99312,0,0.11
